RMN,Ar,At,Br,Bt,Cr,Ct,Dr,Dt
R00-M0-N00,R08-M0-N04,R00-M0-N04,R20-M0-N08,R00-M0-N08,R02-M0-N01,R00-M0-N01,R01-M0-N02,R00-M0-N02
R00-M0-N01,R08-M0-N05,R00-M0-N05,R20-M0-N09,R00-M0-N09,R00-M0-N00,R04-M0-N00,R01-M0-N03,R00-M0-N03
R00-M0-N02,R08-M0-N06,R00-M0-N06,R20-M0-N10,R00-M0-N10,R02-M0-N03,R00-M0-N03,R00-M0-N00,R00-M1-N00
R00-M0-N03,R08-M0-N07,R00-M0-N07,R20-M0-N11,R00-M0-N11,R00-M0-N02,R04-M0-N02,R00-M0-N01,R00-M1-N01
R00-M0-N04,R00-M0-N00,R08-M0-N00,R20-M0-N12,R00-M0-N12,R02-M0-N05,R00-M0-N05,R01-M0-N06,R00-M0-N06
R00-M0-N05,R00-M0-N01,R08-M0-N01,R20-M0-N13,R00-M0-N13,R00-M0-N04,R04-M0-N04,R01-M0-N07,R00-M0-N07
R00-M0-N06,R00-M0-N02,R08-M0-N02,R20-M0-N14,R00-M0-N14,R02-M0-N07,R00-M0-N07,R00-M0-N04,R00-M1-N04
R00-M0-N07,R00-M0-N03,R08-M0-N03,R20-M0-N15,R00-M0-N15,R00-M0-N06,R04-M0-N06,R00-M0-N05,R00-M1-N05
R00-M0-N08,R08-M0-N12,R00-M0-N12,R00-M0-N00,R10-M0-N00,R02-M0-N09,R00-M0-N09,R01-M0-N10,R00-M0-N10
R00-M0-N09,R08-M0-N13,R00-M0-N13,R00-M0-N01,R10-M0-N01,R00-M0-N08,R04-M0-N08,R01-M0-N11,R00-M0-N11
R00-M0-N10,R08-M0-N14,R00-M0-N14,R00-M0-N02,R10-M0-N02,R02-M0-N11,R00-M0-N11,R00-M0-N08,R00-M1-N08
R00-M0-N11,R08-M0-N15,R00-M0-N15,R00-M0-N03,R10-M0-N03,R00-M0-N10,R04-M0-N10,R00-M0-N09,R00-M1-N09
R00-M0-N12,R00-M0-N08,R08-M0-N08,R00-M0-N04,R10-M0-N04,R02-M0-N13,R00-M0-N13,R01-M0-N14,R00-M0-N14
R00-M0-N13,R00-M0-N09,R08-M0-N09,R00-M0-N05,R10-M0-N05,R00-M0-N12,R04-M0-N12,R01-M0-N15,R00-M0-N15
R00-M0-N14,R00-M0-N10,R08-M0-N10,R00-M0-N06,R10-M0-N06,R02-M0-N15,R00-M0-N15,R00-M0-N12,R00-M1-N12
R00-M0-N15,R00-M0-N11,R08-M0-N11,R00-M0-N07,R10-M0-N07,R00-M0-N14,R04-M0-N14,R00-M0-N13,R00-M1-N13
R00-M1-N00,R08-M1-N04,R00-M1-N04,R20-M1-N08,R00-M1-N08,R02-M1-N01,R00-M1-N01,R00-M0-N02,R00-M1-N02
R00-M1-N01,R08-M1-N05,R00-M1-N05,R20-M1-N09,R00-M1-N09,R00-M1-N00,R04-M1-N00,R00-M0-N03,R00-M1-N03
R00-M1-N02,R08-M1-N06,R00-M1-N06,R20-M1-N10,R00-M1-N10,R02-M1-N03,R00-M1-N03,R00-M1-N00,R01-M1-N00
R00-M1-N03,R08-M1-N07,R00-M1-N07,R20-M1-N11,R00-M1-N11,R00-M1-N02,R04-M1-N02,R00-M1-N01,R01-M1-N01
R00-M1-N04,R00-M1-N00,R08-M1-N00,R20-M1-N12,R00-M1-N12,R02-M1-N05,R00-M1-N05,R00-M0-N06,R00-M1-N06
R00-M1-N05,R00-M1-N01,R08-M1-N01,R20-M1-N13,R00-M1-N13,R00-M1-N04,R04-M1-N04,R00-M0-N07,R00-M1-N07
R00-M1-N06,R00-M1-N02,R08-M1-N02,R20-M1-N14,R00-M1-N14,R02-M1-N07,R00-M1-N07,R00-M1-N04,R01-M1-N04
R00-M1-N07,R00-M1-N03,R08-M1-N03,R20-M1-N15,R00-M1-N15,R00-M1-N06,R04-M1-N06,R00-M1-N05,R01-M1-N05
R00-M1-N08,R08-M1-N12,R00-M1-N12,R00-M1-N00,R10-M1-N00,R02-M1-N09,R00-M1-N09,R00-M0-N10,R00-M1-N10
R00-M1-N09,R08-M1-N13,R00-M1-N13,R00-M1-N01,R10-M1-N01,R00-M1-N08,R04-M1-N08,R00-M0-N11,R00-M1-N11
R00-M1-N10,R08-M1-N14,R00-M1-N14,R00-M1-N02,R10-M1-N02,R02-M1-N11,R00-M1-N11,R00-M1-N08,R01-M1-N08
R00-M1-N11,R08-M1-N15,R00-M1-N15,R00-M1-N03,R10-M1-N03,R00-M1-N10,R04-M1-N10,R00-M1-N09,R01-M1-N09
R00-M1-N12,R00-M1-N08,R08-M1-N08,R00-M1-N04,R10-M1-N04,R02-M1-N13,R00-M1-N13,R00-M0-N14,R00-M1-N14
R00-M1-N13,R00-M1-N09,R08-M1-N09,R00-M1-N05,R10-M1-N05,R00-M1-N12,R04-M1-N12,R00-M0-N15,R00-M1-N15
R00-M1-N14,R00-M1-N10,R08-M1-N10,R00-M1-N06,R10-M1-N06,R02-M1-N15,R00-M1-N15,R00-M1-N12,R01-M1-N12
R00-M1-N15,R00-M1-N11,R08-M1-N11,R00-M1-N07,R10-M1-N07,R00-M1-N14,R04-M1-N14,R00-M1-N13,R01-M1-N13
R01-M0-N00,R09-M0-N04,R01-M0-N04,R21-M0-N08,R01-M0-N08,R03-M0-N01,R01-M0-N01,R01-M1-N02,R01-M0-N02
R01-M0-N01,R09-M0-N05,R01-M0-N05,R21-M0-N09,R01-M0-N09,R01-M0-N00,R05-M0-N00,R01-M1-N03,R01-M0-N03
R01-M0-N02,R09-M0-N06,R01-M0-N06,R21-M0-N10,R01-M0-N10,R03-M0-N03,R01-M0-N03,R01-M0-N00,R00-M0-N00
R01-M0-N03,R09-M0-N07,R01-M0-N07,R21-M0-N11,R01-M0-N11,R01-M0-N02,R05-M0-N02,R01-M0-N01,R00-M0-N01
R01-M0-N04,R01-M0-N00,R09-M0-N00,R21-M0-N12,R01-M0-N12,R03-M0-N05,R01-M0-N05,R01-M1-N06,R01-M0-N06
R01-M0-N05,R01-M0-N01,R09-M0-N01,R21-M0-N13,R01-M0-N13,R01-M0-N04,R05-M0-N04,R01-M1-N07,R01-M0-N07
R01-M0-N06,R01-M0-N02,R09-M0-N02,R21-M0-N14,R01-M0-N14,R03-M0-N07,R01-M0-N07,R01-M0-N04,R00-M0-N04
R01-M0-N07,R01-M0-N03,R09-M0-N03,R21-M0-N15,R01-M0-N15,R01-M0-N06,R05-M0-N06,R01-M0-N05,R00-M0-N05
R01-M0-N08,R09-M0-N12,R01-M0-N12,R01-M0-N00,R11-M0-N00,R03-M0-N09,R01-M0-N09,R01-M1-N10,R01-M0-N10
R01-M0-N09,R09-M0-N13,R01-M0-N13,R01-M0-N01,R11-M0-N01,R01-M0-N08,R05-M0-N08,R01-M1-N11,R01-M0-N11
R01-M0-N10,R09-M0-N14,R01-M0-N14,R01-M0-N02,R11-M0-N02,R03-M0-N11,R01-M0-N11,R01-M0-N08,R00-M0-N08
R01-M0-N11,R09-M0-N15,R01-M0-N15,R01-M0-N03,R11-M0-N03,R01-M0-N10,R05-M0-N10,R01-M0-N09,R00-M0-N09
R01-M0-N12,R01-M0-N08,R09-M0-N08,R01-M0-N04,R11-M0-N04,R03-M0-N13,R01-M0-N13,R01-M1-N14,R01-M0-N14
R01-M0-N13,R01-M0-N09,R09-M0-N09,R01-M0-N05,R11-M0-N05,R01-M0-N12,R05-M0-N12,R01-M1-N15,R01-M0-N15
R01-M0-N14,R01-M0-N10,R09-M0-N10,R01-M0-N06,R11-M0-N06,R03-M0-N15,R01-M0-N15,R01-M0-N12,R00-M0-N12
R01-M0-N15,R01-M0-N11,R09-M0-N11,R01-M0-N07,R11-M0-N07,R01-M0-N14,R05-M0-N14,R01-M0-N13,R00-M0-N13
R01-M1-N00,R09-M1-N04,R01-M1-N04,R21-M1-N08,R01-M1-N08,R03-M1-N01,R01-M1-N01,R00-M1-N02,R01-M1-N02
R01-M1-N01,R09-M1-N05,R01-M1-N05,R21-M1-N09,R01-M1-N09,R01-M1-N00,R05-M1-N00,R00-M1-N03,R01-M1-N03
R01-M1-N02,R09-M1-N06,R01-M1-N06,R21-M1-N10,R01-M1-N10,R03-M1-N03,R01-M1-N03,R01-M1-N00,R01-M0-N00
R01-M1-N03,R09-M1-N07,R01-M1-N07,R21-M1-N11,R01-M1-N11,R01-M1-N02,R05-M1-N02,R01-M1-N01,R01-M0-N01
R01-M1-N04,R01-M1-N00,R09-M1-N00,R21-M1-N12,R01-M1-N12,R03-M1-N05,R01-M1-N05,R00-M1-N06,R01-M1-N06
R01-M1-N05,R01-M1-N01,R09-M1-N01,R21-M1-N13,R01-M1-N13,R01-M1-N04,R05-M1-N04,R00-M1-N07,R01-M1-N07
R01-M1-N06,R01-M1-N02,R09-M1-N02,R21-M1-N14,R01-M1-N14,R03-M1-N07,R01-M1-N07,R01-M1-N04,R01-M0-N04
R01-M1-N07,R01-M1-N03,R09-M1-N03,R21-M1-N15,R01-M1-N15,R01-M1-N06,R05-M1-N06,R01-M1-N05,R01-M0-N05
R01-M1-N08,R09-M1-N12,R01-M1-N12,R01-M1-N00,R11-M1-N00,R03-M1-N09,R01-M1-N09,R00-M1-N10,R01-M1-N10
R01-M1-N09,R09-M1-N13,R01-M1-N13,R01-M1-N01,R11-M1-N01,R01-M1-N08,R05-M1-N08,R00-M1-N11,R01-M1-N11
R01-M1-N10,R09-M1-N14,R01-M1-N14,R01-M1-N02,R11-M1-N02,R03-M1-N11,R01-M1-N11,R01-M1-N08,R01-M0-N08
R01-M1-N11,R09-M1-N15,R01-M1-N15,R01-M1-N03,R11-M1-N03,R01-M1-N10,R05-M1-N10,R01-M1-N09,R01-M0-N09
R01-M1-N12,R01-M1-N08,R09-M1-N08,R01-M1-N04,R11-M1-N04,R03-M1-N13,R01-M1-N13,R00-M1-N14,R01-M1-N14
R01-M1-N13,R01-M1-N09,R09-M1-N09,R01-M1-N05,R11-M1-N05,R01-M1-N12,R05-M1-N12,R00-M1-N15,R01-M1-N15
R01-M1-N14,R01-M1-N10,R09-M1-N10,R01-M1-N06,R11-M1-N06,R03-M1-N15,R01-M1-N15,R01-M1-N12,R01-M0-N12
R01-M1-N15,R01-M1-N11,R09-M1-N11,R01-M1-N07,R11-M1-N07,R01-M1-N14,R05-M1-N14,R01-M1-N13,R01-M0-N13
R02-M0-N00,R0A-M0-N04,R02-M0-N04,R22-M0-N08,R02-M0-N08,R06-M0-N01,R02-M0-N01,R03-M0-N02,R02-M0-N02
R02-M0-N01,R0A-M0-N05,R02-M0-N05,R22-M0-N09,R02-M0-N09,R02-M0-N00,R00-M0-N00,R03-M0-N03,R02-M0-N03
R02-M0-N02,R0A-M0-N06,R02-M0-N06,R22-M0-N10,R02-M0-N10,R06-M0-N03,R02-M0-N03,R02-M0-N00,R02-M1-N00
R02-M0-N03,R0A-M0-N07,R02-M0-N07,R22-M0-N11,R02-M0-N11,R02-M0-N02,R00-M0-N02,R02-M0-N01,R02-M1-N01
R02-M0-N04,R02-M0-N00,R0A-M0-N00,R22-M0-N12,R02-M0-N12,R06-M0-N05,R02-M0-N05,R03-M0-N06,R02-M0-N06
R02-M0-N05,R02-M0-N01,R0A-M0-N01,R22-M0-N13,R02-M0-N13,R02-M0-N04,R00-M0-N04,R03-M0-N07,R02-M0-N07
R02-M0-N06,R02-M0-N02,R0A-M0-N02,R22-M0-N14,R02-M0-N14,R06-M0-N07,R02-M0-N07,R02-M0-N04,R02-M1-N04
R02-M0-N07,R02-M0-N03,R0A-M0-N03,R22-M0-N15,R02-M0-N15,R02-M0-N06,R00-M0-N06,R02-M0-N05,R02-M1-N05
R02-M0-N08,R0A-M0-N12,R02-M0-N12,R02-M0-N00,R12-M0-N00,R06-M0-N09,R02-M0-N09,R03-M0-N10,R02-M0-N10
R02-M0-N09,R0A-M0-N13,R02-M0-N13,R02-M0-N01,R12-M0-N01,R02-M0-N08,R00-M0-N08,R03-M0-N11,R02-M0-N11
R02-M0-N10,R0A-M0-N14,R02-M0-N14,R02-M0-N02,R12-M0-N02,R06-M0-N11,R02-M0-N11,R02-M0-N08,R02-M1-N08
R02-M0-N11,R0A-M0-N15,R02-M0-N15,R02-M0-N03,R12-M0-N03,R02-M0-N10,R00-M0-N10,R02-M0-N09,R02-M1-N09
R02-M0-N12,R02-M0-N08,R0A-M0-N08,R02-M0-N04,R12-M0-N04,R06-M0-N13,R02-M0-N13,R03-M0-N14,R02-M0-N14
R02-M0-N13,R02-M0-N09,R0A-M0-N09,R02-M0-N05,R12-M0-N05,R02-M0-N12,R00-M0-N12,R03-M0-N15,R02-M0-N15
R02-M0-N14,R02-M0-N10,R0A-M0-N10,R02-M0-N06,R12-M0-N06,R06-M0-N15,R02-M0-N15,R02-M0-N12,R02-M1-N12
R02-M0-N15,R02-M0-N11,R0A-M0-N11,R02-M0-N07,R12-M0-N07,R02-M0-N14,R00-M0-N14,R02-M0-N13,R02-M1-N13
R02-M1-N00,R0A-M1-N04,R02-M1-N04,R22-M1-N08,R02-M1-N08,R06-M1-N01,R02-M1-N01,R02-M0-N02,R02-M1-N02
R02-M1-N01,R0A-M1-N05,R02-M1-N05,R22-M1-N09,R02-M1-N09,R02-M1-N00,R00-M1-N00,R02-M0-N03,R02-M1-N03
R02-M1-N02,R0A-M1-N06,R02-M1-N06,R22-M1-N10,R02-M1-N10,R06-M1-N03,R02-M1-N03,R02-M1-N00,R03-M1-N00
R02-M1-N03,R0A-M1-N07,R02-M1-N07,R22-M1-N11,R02-M1-N11,R02-M1-N02,R00-M1-N02,R02-M1-N01,R03-M1-N01
R02-M1-N04,R02-M1-N00,R0A-M1-N00,R22-M1-N12,R02-M1-N12,R06-M1-N05,R02-M1-N05,R02-M0-N06,R02-M1-N06
R02-M1-N05,R02-M1-N01,R0A-M1-N01,R22-M1-N13,R02-M1-N13,R02-M1-N04,R00-M1-N04,R02-M0-N07,R02-M1-N07
R02-M1-N06,R02-M1-N02,R0A-M1-N02,R22-M1-N14,R02-M1-N14,R06-M1-N07,R02-M1-N07,R02-M1-N04,R03-M1-N04
R02-M1-N07,R02-M1-N03,R0A-M1-N03,R22-M1-N15,R02-M1-N15,R02-M1-N06,R00-M1-N06,R02-M1-N05,R03-M1-N05
R02-M1-N08,R0A-M1-N12,R02-M1-N12,R02-M1-N00,R12-M1-N00,R06-M1-N09,R02-M1-N09,R02-M0-N10,R02-M1-N10
R02-M1-N09,R0A-M1-N13,R02-M1-N13,R02-M1-N01,R12-M1-N01,R02-M1-N08,R00-M1-N08,R02-M0-N11,R02-M1-N11
R02-M1-N10,R0A-M1-N14,R02-M1-N14,R02-M1-N02,R12-M1-N02,R06-M1-N11,R02-M1-N11,R02-M1-N08,R03-M1-N08
R02-M1-N11,R0A-M1-N15,R02-M1-N15,R02-M1-N03,R12-M1-N03,R02-M1-N10,R00-M1-N10,R02-M1-N09,R03-M1-N09
R02-M1-N12,R02-M1-N08,R0A-M1-N08,R02-M1-N04,R12-M1-N04,R06-M1-N13,R02-M1-N13,R02-M0-N14,R02-M1-N14
R02-M1-N13,R02-M1-N09,R0A-M1-N09,R02-M1-N05,R12-M1-N05,R02-M1-N12,R00-M1-N12,R02-M0-N15,R02-M1-N15
R02-M1-N14,R02-M1-N10,R0A-M1-N10,R02-M1-N06,R12-M1-N06,R06-M1-N15,R02-M1-N15,R02-M1-N12,R03-M1-N12
R02-M1-N15,R02-M1-N11,R0A-M1-N11,R02-M1-N07,R12-M1-N07,R02-M1-N14,R00-M1-N14,R02-M1-N13,R03-M1-N13
R03-M0-N00,R0B-M0-N04,R03-M0-N04,R23-M0-N08,R03-M0-N08,R07-M0-N01,R03-M0-N01,R03-M1-N02,R03-M0-N02
R03-M0-N01,R0B-M0-N05,R03-M0-N05,R23-M0-N09,R03-M0-N09,R03-M0-N00,R01-M0-N00,R03-M1-N03,R03-M0-N03
R03-M0-N02,R0B-M0-N06,R03-M0-N06,R23-M0-N10,R03-M0-N10,R07-M0-N03,R03-M0-N03,R03-M0-N00,R02-M0-N00
R03-M0-N03,R0B-M0-N07,R03-M0-N07,R23-M0-N11,R03-M0-N11,R03-M0-N02,R01-M0-N02,R03-M0-N01,R02-M0-N01
R03-M0-N04,R03-M0-N00,R0B-M0-N00,R23-M0-N12,R03-M0-N12,R07-M0-N05,R03-M0-N05,R03-M1-N06,R03-M0-N06
R03-M0-N05,R03-M0-N01,R0B-M0-N01,R23-M0-N13,R03-M0-N13,R03-M0-N04,R01-M0-N04,R03-M1-N07,R03-M0-N07
R03-M0-N06,R03-M0-N02,R0B-M0-N02,R23-M0-N14,R03-M0-N14,R07-M0-N07,R03-M0-N07,R03-M0-N04,R02-M0-N04
R03-M0-N07,R03-M0-N03,R0B-M0-N03,R23-M0-N15,R03-M0-N15,R03-M0-N06,R01-M0-N06,R03-M0-N05,R02-M0-N05
R03-M0-N08,R0B-M0-N12,R03-M0-N12,R03-M0-N00,R13-M0-N00,R07-M0-N09,R03-M0-N09,R03-M1-N10,R03-M0-N10
R03-M0-N09,R0B-M0-N13,R03-M0-N13,R03-M0-N01,R13-M0-N01,R03-M0-N08,R01-M0-N08,R03-M1-N11,R03-M0-N11
R03-M0-N10,R0B-M0-N14,R03-M0-N14,R03-M0-N02,R13-M0-N02,R07-M0-N11,R03-M0-N11,R03-M0-N08,R02-M0-N08
R03-M0-N11,R0B-M0-N15,R03-M0-N15,R03-M0-N03,R13-M0-N03,R03-M0-N10,R01-M0-N10,R03-M0-N09,R02-M0-N09
R03-M0-N12,R03-M0-N08,R0B-M0-N08,R03-M0-N04,R13-M0-N04,R07-M0-N13,R03-M0-N13,R03-M1-N14,R03-M0-N14
R03-M0-N13,R03-M0-N09,R0B-M0-N09,R03-M0-N05,R13-M0-N05,R03-M0-N12,R01-M0-N12,R03-M1-N15,R03-M0-N15
R03-M0-N14,R03-M0-N10,R0B-M0-N10,R03-M0-N06,R13-M0-N06,R07-M0-N15,R03-M0-N15,R03-M0-N12,R02-M0-N12
R03-M0-N15,R03-M0-N11,R0B-M0-N11,R03-M0-N07,R13-M0-N07,R03-M0-N14,R01-M0-N14,R03-M0-N13,R02-M0-N13
R03-M1-N00,R0B-M1-N04,R03-M1-N04,R23-M1-N08,R03-M1-N08,R07-M1-N01,R03-M1-N01,R02-M1-N02,R03-M1-N02
R03-M1-N01,R0B-M1-N05,R03-M1-N05,R23-M1-N09,R03-M1-N09,R03-M1-N00,R01-M1-N00,R02-M1-N03,R03-M1-N03
R03-M1-N02,R0B-M1-N06,R03-M1-N06,R23-M1-N10,R03-M1-N10,R07-M1-N03,R03-M1-N03,R03-M1-N00,R03-M0-N00
R03-M1-N03,R0B-M1-N07,R03-M1-N07,R23-M1-N11,R03-M1-N11,R03-M1-N02,R01-M1-N02,R03-M1-N01,R03-M0-N01
R03-M1-N04,R03-M1-N00,R0B-M1-N00,R23-M1-N12,R03-M1-N12,R07-M1-N05,R03-M1-N05,R02-M1-N06,R03-M1-N06
R03-M1-N05,R03-M1-N01,R0B-M1-N01,R23-M1-N13,R03-M1-N13,R03-M1-N04,R01-M1-N04,R02-M1-N07,R03-M1-N07
R03-M1-N06,R03-M1-N02,R0B-M1-N02,R23-M1-N14,R03-M1-N14,R07-M1-N07,R03-M1-N07,R03-M1-N04,R03-M0-N04
R03-M1-N07,R03-M1-N03,R0B-M1-N03,R23-M1-N15,R03-M1-N15,R03-M1-N06,R01-M1-N06,R03-M1-N05,R03-M0-N05
R03-M1-N08,R0B-M1-N12,R03-M1-N12,R03-M1-N00,R13-M1-N00,R07-M1-N09,R03-M1-N09,R02-M1-N10,R03-M1-N10
R03-M1-N09,R0B-M1-N13,R03-M1-N13,R03-M1-N01,R13-M1-N01,R03-M1-N08,R01-M1-N08,R02-M1-N11,R03-M1-N11
R03-M1-N10,R0B-M1-N14,R03-M1-N14,R03-M1-N02,R13-M1-N02,R07-M1-N11,R03-M1-N11,R03-M1-N08,R03-M0-N08
R03-M1-N11,R0B-M1-N15,R03-M1-N15,R03-M1-N03,R13-M1-N03,R03-M1-N10,R01-M1-N10,R03-M1-N09,R03-M0-N09
R03-M1-N12,R03-M1-N08,R0B-M1-N08,R03-M1-N04,R13-M1-N04,R07-M1-N13,R03-M1-N13,R02-M1-N14,R03-M1-N14
R03-M1-N13,R03-M1-N09,R0B-M1-N09,R03-M1-N05,R13-M1-N05,R03-M1-N12,R01-M1-N12,R02-M1-N15,R03-M1-N15
R03-M1-N14,R03-M1-N10,R0B-M1-N10,R03-M1-N06,R13-M1-N06,R07-M1-N15,R03-M1-N15,R03-M1-N12,R03-M0-N12
R03-M1-N15,R03-M1-N11,R0B-M1-N11,R03-M1-N07,R13-M1-N07,R03-M1-N14,R01-M1-N14,R03-M1-N13,R03-M0-N13
R04-M0-N00,R0C-M0-N04,R04-M0-N04,R24-M0-N08,R04-M0-N08,R00-M0-N01,R04-M0-N01,R05-M0-N02,R04-M0-N02
R04-M0-N01,R0C-M0-N05,R04-M0-N05,R24-M0-N09,R04-M0-N09,R04-M0-N00,R06-M0-N00,R05-M0-N03,R04-M0-N03
R04-M0-N02,R0C-M0-N06,R04-M0-N06,R24-M0-N10,R04-M0-N10,R00-M0-N03,R04-M0-N03,R04-M0-N00,R04-M1-N00
R04-M0-N03,R0C-M0-N07,R04-M0-N07,R24-M0-N11,R04-M0-N11,R04-M0-N02,R06-M0-N02,R04-M0-N01,R04-M1-N01
R04-M0-N04,R04-M0-N00,R0C-M0-N00,R24-M0-N12,R04-M0-N12,R00-M0-N05,R04-M0-N05,R05-M0-N06,R04-M0-N06
R04-M0-N05,R04-M0-N01,R0C-M0-N01,R24-M0-N13,R04-M0-N13,R04-M0-N04,R06-M0-N04,R05-M0-N07,R04-M0-N07
R04-M0-N06,R04-M0-N02,R0C-M0-N02,R24-M0-N14,R04-M0-N14,R00-M0-N07,R04-M0-N07,R04-M0-N04,R04-M1-N04
R04-M0-N07,R04-M0-N03,R0C-M0-N03,R24-M0-N15,R04-M0-N15,R04-M0-N06,R06-M0-N06,R04-M0-N05,R04-M1-N05
R04-M0-N08,R0C-M0-N12,R04-M0-N12,R04-M0-N00,R14-M0-N00,R00-M0-N09,R04-M0-N09,R05-M0-N10,R04-M0-N10
R04-M0-N09,R0C-M0-N13,R04-M0-N13,R04-M0-N01,R14-M0-N01,R04-M0-N08,R06-M0-N08,R05-M0-N11,R04-M0-N11
R04-M0-N10,R0C-M0-N14,R04-M0-N14,R04-M0-N02,R14-M0-N02,R00-M0-N11,R04-M0-N11,R04-M0-N08,R04-M1-N08
R04-M0-N11,R0C-M0-N15,R04-M0-N15,R04-M0-N03,R14-M0-N03,R04-M0-N10,R06-M0-N10,R04-M0-N09,R04-M1-N09
R04-M0-N12,R04-M0-N08,R0C-M0-N08,R04-M0-N04,R14-M0-N04,R00-M0-N13,R04-M0-N13,R05-M0-N14,R04-M0-N14
R04-M0-N13,R04-M0-N09,R0C-M0-N09,R04-M0-N05,R14-M0-N05,R04-M0-N12,R06-M0-N12,R05-M0-N15,R04-M0-N15
R04-M0-N14,R04-M0-N10,R0C-M0-N10,R04-M0-N06,R14-M0-N06,R00-M0-N15,R04-M0-N15,R04-M0-N12,R04-M1-N12
R04-M0-N15,R04-M0-N11,R0C-M0-N11,R04-M0-N07,R14-M0-N07,R04-M0-N14,R06-M0-N14,R04-M0-N13,R04-M1-N13
R04-M1-N00,R0C-M1-N04,R04-M1-N04,R24-M1-N08,R04-M1-N08,R00-M1-N01,R04-M1-N01,R04-M0-N02,R04-M1-N02
R04-M1-N01,R0C-M1-N05,R04-M1-N05,R24-M1-N09,R04-M1-N09,R04-M1-N00,R06-M1-N00,R04-M0-N03,R04-M1-N03
R04-M1-N02,R0C-M1-N06,R04-M1-N06,R24-M1-N10,R04-M1-N10,R00-M1-N03,R04-M1-N03,R04-M1-N00,R05-M1-N00
R04-M1-N03,R0C-M1-N07,R04-M1-N07,R24-M1-N11,R04-M1-N11,R04-M1-N02,R06-M1-N02,R04-M1-N01,R05-M1-N01
R04-M1-N04,R04-M1-N00,R0C-M1-N00,R24-M1-N12,R04-M1-N12,R00-M1-N05,R04-M1-N05,R04-M0-N06,R04-M1-N06
R04-M1-N05,R04-M1-N01,R0C-M1-N01,R24-M1-N13,R04-M1-N13,R04-M1-N04,R06-M1-N04,R04-M0-N07,R04-M1-N07
R04-M1-N06,R04-M1-N02,R0C-M1-N02,R24-M1-N14,R04-M1-N14,R00-M1-N07,R04-M1-N07,R04-M1-N04,R05-M1-N04
R04-M1-N07,R04-M1-N03,R0C-M1-N03,R24-M1-N15,R04-M1-N15,R04-M1-N06,R06-M1-N06,R04-M1-N05,R05-M1-N05
R04-M1-N08,R0C-M1-N12,R04-M1-N12,R04-M1-N00,R14-M1-N00,R00-M1-N09,R04-M1-N09,R04-M0-N10,R04-M1-N10
R04-M1-N09,R0C-M1-N13,R04-M1-N13,R04-M1-N01,R14-M1-N01,R04-M1-N08,R06-M1-N08,R04-M0-N11,R04-M1-N11
R04-M1-N10,R0C-M1-N14,R04-M1-N14,R04-M1-N02,R14-M1-N02,R00-M1-N11,R04-M1-N11,R04-M1-N08,R05-M1-N08
R04-M1-N11,R0C-M1-N15,R04-M1-N15,R04-M1-N03,R14-M1-N03,R04-M1-N10,R06-M1-N10,R04-M1-N09,R05-M1-N09
R04-M1-N12,R04-M1-N08,R0C-M1-N08,R04-M1-N04,R14-M1-N04,R00-M1-N13,R04-M1-N13,R04-M0-N14,R04-M1-N14
R04-M1-N13,R04-M1-N09,R0C-M1-N09,R04-M1-N05,R14-M1-N05,R04-M1-N12,R06-M1-N12,R04-M0-N15,R04-M1-N15
R04-M1-N14,R04-M1-N10,R0C-M1-N10,R04-M1-N06,R14-M1-N06,R00-M1-N15,R04-M1-N15,R04-M1-N12,R05-M1-N12
R04-M1-N15,R04-M1-N11,R0C-M1-N11,R04-M1-N07,R14-M1-N07,R04-M1-N14,R06-M1-N14,R04-M1-N13,R05-M1-N13
R05-M0-N00,R0D-M0-N04,R05-M0-N04,R25-M0-N08,R05-M0-N08,R01-M0-N01,R05-M0-N01,R05-M1-N02,R05-M0-N02
R05-M0-N01,R0D-M0-N05,R05-M0-N05,R25-M0-N09,R05-M0-N09,R05-M0-N00,R07-M0-N00,R05-M1-N03,R05-M0-N03
R05-M0-N02,R0D-M0-N06,R05-M0-N06,R25-M0-N10,R05-M0-N10,R01-M0-N03,R05-M0-N03,R05-M0-N00,R04-M0-N00
R05-M0-N03,R0D-M0-N07,R05-M0-N07,R25-M0-N11,R05-M0-N11,R05-M0-N02,R07-M0-N02,R05-M0-N01,R04-M0-N01
R05-M0-N04,R05-M0-N00,R0D-M0-N00,R25-M0-N12,R05-M0-N12,R01-M0-N05,R05-M0-N05,R05-M1-N06,R05-M0-N06
R05-M0-N05,R05-M0-N01,R0D-M0-N01,R25-M0-N13,R05-M0-N13,R05-M0-N04,R07-M0-N04,R05-M1-N07,R05-M0-N07
R05-M0-N06,R05-M0-N02,R0D-M0-N02,R25-M0-N14,R05-M0-N14,R01-M0-N07,R05-M0-N07,R05-M0-N04,R04-M0-N04
R05-M0-N07,R05-M0-N03,R0D-M0-N03,R25-M0-N15,R05-M0-N15,R05-M0-N06,R07-M0-N06,R05-M0-N05,R04-M0-N05
R05-M0-N08,R0D-M0-N12,R05-M0-N12,R05-M0-N00,R15-M0-N00,R01-M0-N09,R05-M0-N09,R05-M1-N10,R05-M0-N10
R05-M0-N09,R0D-M0-N13,R05-M0-N13,R05-M0-N01,R15-M0-N01,R05-M0-N08,R07-M0-N08,R05-M1-N11,R05-M0-N11
R05-M0-N10,R0D-M0-N14,R05-M0-N14,R05-M0-N02,R15-M0-N02,R01-M0-N11,R05-M0-N11,R05-M0-N08,R04-M0-N08
