"str","partition"
"000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000","MIR-44440-77771-512"
"000000000000000011111111111111110000000000000000000000000000000000000000000000000000000000000000","MIR-40000-73FF1-8192"
"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001","MIR-48880-7BBB1-512"
"000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000","MIR-044C0-377F1-512"
"000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00C00-33F71-1-1024"
"000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000","MIR-08400-3B731-512"
"000000000000000000000000111100000000000000000000000000000000000000000000000000000000000000000000","MIR-40400-737F1-2048"
"000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000","MIR-448C0-77BF1-512"
"000000000000000000000000000000000000000000000000000000000000000000000000000000001111000011110000","MIR-48000-7B7F1-4096"
"000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000","MIR-04840-37B71-512"
"000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111","MIR-08000-7BFF1-16384"
"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000","MIR-48400-7B731-512"
"000000000000000000000000000000000000000000000000000000000000111100000000000000000000000000000000","MIR-44800-77BF1-2048"
"000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000","MIR-40C80-73FF1-1024"
"000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000","MIR-44880-77BF1-1-1024"
"000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-40000-73371-1-1024"
"000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00840-33B71-512"
"000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000","MIR-40C00-73F71-1-1024"
"000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000","MIR-40C40-73F71-512"
"000000000000000000000000000000000000000000000000000000000000000011110000111100000000000000000000","MIR-08000-3B7F1-4096"
"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011","MIR-48880-7BBF1-1-1024"
"000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-40C00-73F31-512"
"000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000","MIR-44880-77BB1-512"
