"torus","RMNJ"
"00C41","R02-M1-N00-J07"
"00C50","R02-M1-N00-J12"
"00C51","R02-M1-N00-J11"
"00C60","R02-M1-N02-J12"
"00C61","R02-M1-N02-J11"
"00C70","R02-M1-N02-J00"
"00C71","R02-M1-N02-J07"
"00C80","R03-M1-N00-J00"
"00C81","R03-M1-N00-J07"
"00C90","R03-M1-N00-J12"
"00C91","R03-M1-N00-J11"
"00CA0","R03-M1-N02-J12"
"00CA1","R03-M1-N02-J11"
"00CB0","R03-M1-N02-J00"
"00CB1","R03-M1-N02-J07"
"00CC0","R03-M0-N00-J00"
"00CC1","R03-M0-N00-J07"
"00CD0","R03-M0-N00-J12"
"00CD1","R03-M0-N00-J11"
"00CE0","R03-M0-N02-J12"
"00CE1","R03-M0-N02-J11"
"00CF0","R03-M0-N02-J00"
"00CF1","R03-M0-N02-J07"
"00D00","R02-M0-N00-J01"
"00D01","R02-M0-N00-J06"
"00D10","R02-M0-N00-J13"
"00D11","R02-M0-N00-J10"
"00D20","R02-M0-N02-J13"
"00D21","R02-M0-N02-J10"
"00D30","R02-M0-N02-J01"
"00D31","R02-M0-N02-J06"
"00D40","R02-M1-N00-J01"
"00D41","R02-M1-N00-J06"
"00D50","R02-M1-N00-J13"
"00D51","R02-M1-N00-J10"
"00D60","R02-M1-N02-J13"
"00D61","R02-M1-N02-J10"
"00D70","R02-M1-N02-J01"
"00D71","R02-M1-N02-J06"
"00D80","R03-M1-N00-J01"
"00D81","R03-M1-N00-J06"
"00D90","R03-M1-N00-J13"
"00D91","R03-M1-N00-J10"
"00DA0","R03-M1-N02-J13"
"00DA1","R03-M1-N02-J10"
"00DB0","R03-M1-N02-J01"
"00DB1","R03-M1-N02-J06"
"00DC0","R03-M0-N00-J01"
"00DC1","R03-M0-N00-J06"
"00DD0","R03-M0-N00-J13"
"00DD1","R03-M0-N00-J10"
"00DE0","R03-M0-N02-J13"
"00DE1","R03-M0-N02-J10"
"00DF0","R03-M0-N02-J01"
"00DF1","R03-M0-N02-J06"
"00E00","R02-M0-N01-J01"
"00E01","R02-M0-N01-J06"
"00E10","R02-M0-N01-J13"
"00E11","R02-M0-N01-J10"
"00E20","R02-M0-N03-J13"
"00E21","R02-M0-N03-J10"
"00E30","R02-M0-N03-J01"
"00E31","R02-M0-N03-J06"
"00E40","R02-M1-N01-J01"
